ContactName,Delete_Contact,Rename_Contact,Comments,Delete_FiveToneCalls,FiveToneCalls-S5CLDLL_5TTELEGRAM,FiveToneCalls-S5CLDLL_5TCALLADD,Delete_MDCCalls,MDCCalls-AU_CALLLSTID,MDCCalls-AU_MDCSYS,MDCCalls-AU_RVRTPERS_Zone,MDCCalls-AU_RVRTPERS,MDCCalls-AU_SPTPLDPL,MDCCalls-AU_CALLTYPE,Delete_QuikCallIICalls,QuikCallIICalls-QU_QCIISYS,QuikCallIICalls-QU_RVRTPERS_Zone,QuikCallIICalls-QU_RVRTPERS,QuikCallIICalls-QU_CALLFORMAT,QuikCallIICalls-QU_TONEATXFRE,QuikCallIICalls-QU_CODEA,QuikCallIICalls-QU_TONEBTXFRE,QuikCallIICalls-QU_CODEB,QuikCallIICalls-QU_STRIPPLDPL,Delete_DigitalCalls,DigitalCalls-DU_CALLLSTID,DigitalCalls-DU_ROUTETYPE,DigitalCalls-DU_CALLPRCDTNEN,DigitalCalls-DU_RINGTYPE,DigitalCalls-DU_TXTMSGALTTNTP,DigitalCalls-DU_CALLTYPE,DigitalCalls-DU_OVCMCALL,Delete_CapacityPlusCalls,CapacityPlusCalls-CAPPLUSUCL_CALLLSTID,CapacityPlusCalls-CAPPLUSUCL_ROUTETYPE,CapacityPlusCalls-CAPPLUSUCL_CALLPRCDTNEN,CapacityPlusCalls-CAPPLUSUCL_RINGTYPE,CapacityPlusCalls-CAPPLUSUCL_TXTMSGALTTNTP,CapacityPlusCalls-CAPPLUSUCL_CALLTYPE,Delete_PhoneCalls,PhoneCalls-PHNUCLELL_CALLID,PhoneCalls-PHNUCLELL_RINGTYPE
5NIK,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025024,,True,No Style,,Private Call,False,False,,,,,,,False,,
5IHN,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025025,,True,No Style,,Private Call,False,False,,,,,,,False,,
5ADI,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025031,,True,No Style,,Private Call,False,False,,,,,,,False,,
6DJW,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025034,,True,No Style,,Private Call,False,False,,,,,,,False,,
5IJP,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025038,,True,No Style,,Private Call,False,False,,,,,,,False,,
5ADS,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025042,,True,No Style,,Private Call,False,False,,,,,,,False,,
5ZNI,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025043,,True,No Style,,Private Call,False,False,,,,,,,False,,
5ASP,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025045,,True,No Style,,Private Call,False,False,,,,,,,False,,
5ONG,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025047,,True,No Style,,Private Call,False,False,,,,,,,False,,
6HAN,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025053,,True,No Style,,Private Call,False,False,,,,,,,False,,
6RRR,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025055,,True,No Style,,Private Call,False,False,,,,,,,False,,
6AMN,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025056,,True,No Style,,Private Call,False,False,,,,,,,False,,
6BLL,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025058,,True,No Style,,Private Call,False,False,,,,,,,False,,
6UNE,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025060,,True,No Style,,Private Call,False,False,,,,,,,False,,
6AFF,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025062,,True,No Style,,Private Call,False,False,,,,,,,False,,
6BPV,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025063,,True,No Style,,Private Call,False,False,,,,,,,False,,
6AXC,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025064,,True,No Style,,Private Call,False,False,,,,,,,False,,
6AWH,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025065,,True,No Style,,Private Call,False,False,,,,,,,False,,
6RED,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025066,,True,No Style,,Private Call,False,False,,,,,,,False,,
6ALQ,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025069,,True,No Style,,Private Call,False,False,,,,,,,False,,
6VUK,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025070,,True,No Style,,Private Call,False,False,,,,,,,False,,
6AAJ,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025077,,True,No Style,,Private Call,False,False,,,,,,,False,,
6BRJ,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025079,,True,No Style,,Private Call,False,False,,,,,,,False,,
6IXM,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025081,,True,No Style,,Private Call,False,False,,,,,,,False,,
6BTP,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025083,,True,No Style,,Private Call,False,False,,,,,,,False,,
6DPD,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025084,,True,No Style,,Private Call,False,False,,,,,,,False,,
6BBU,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025085,,True,No Style,,Private Call,False,False,,,,,,,False,,
6BFD,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025088,,True,No Style,,Private Call,False,False,,,,,,,False,,
6RZL,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025089,,True,No Style,,Private Call,False,False,,,,,,,False,,
6HHD,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025090,,True,No Style,,Private Call,False,False,,,,,,,False,,
6HRS,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025095,,True,No Style,,Private Call,False,False,,,,,,,False,,
6JNL,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025096,,True,No Style,,Private Call,False,False,,,,,,,False,,
6RAM,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025097,,True,No Style,,Private Call,False,False,,,,,,,False,,
6EKP,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025098,,True,No Style,,Private Call,False,False,,,,,,,False,,
6BNY,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025099,,True,No Style,,Private Call,False,False,,,,,,,False,,
6AIV,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025100,,True,No Style,,Private Call,False,False,,,,,,,False,,
6VLE,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025101,,True,No Style,,Private Call,False,False,,,,,,,False,,
6YAY,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025102,,True,No Style,,Private Call,False,False,,,,,,,False,,
6HMY,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025103,,True,No Style,,Private Call,False,False,,,,,,,False,,
6CHJ,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025104,,True,No Style,,Private Call,False,False,,,,,,,False,,
6SKR,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025106,,True,No Style,,Private Call,False,False,,,,,,,False,,
6BRB,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025107,,True,No Style,,Private Call,False,False,,,,,,,False,,
6MRK,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025108,,True,No Style,,Private Call,False,False,,,,,,,False,,
6AGU,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025109,,True,No Style,,Private Call,False,False,,,,,,,False,,
6CNF,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025110,,True,No Style,,Private Call,False,False,,,,,,,False,,
6AYV,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025111,,True,No Style,,Private Call,False,False,,,,,,,False,,
6NPC,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025112,,True,No Style,,Private Call,False,False,,,,,,,False,,
6VRG,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025033,,True,No Style,,Private Call,False,False,,,,,,,False,,
